gpgmepp 2.0.0-2.1
gpm 1.20.7.r38.ge82d1a6-6.1
graphene 1.10.8-2.1
graphite 1:1.3.14-5
grep 3.12-2.1
groff 1.23.0-7.1
grub 2:2.14rc1-2
grub-hook 2.1-1
gsettings-desktop-schemas 49.1-1
gsettings-system-schemas 49.1-1
gsm 1.0.22-2.1
gspell 1.14.1-1.1
gssdp 1.6.4-1.1
gssproxy 0.9.2-2.1
gst-libav 1.26.7-1.1
gst-plugin-pipewire 1:1.4.9-1.1
gst-plugins-bad 1.26.7-1.1
gst-plugins-bad-libs 1.26.7-1.1
gst-plugins-base 1.26.7-1.1
gst-plugins-base-libs 1.26.7-1.1
gst-plugins-ugly 1.26.7-1.1
gstreamer 1.26.7-1.1
gtest 1.17.0-1.1
gtk-update-icon-cache 1:4.20.2-3.1
gtk3 1:3.24.51-1.1
gtk4 1:4.20.2-3.1
gtkmm-4.0 4.20.0-1.2
gtksourceview4 4.8.4-2.1
guile 3.0.10-1.1
gupnp 1:1.6.9-1.1
gupnp-igd 1.6.0-2.1
gwenview 25.08.3-1.1
gzip 1.14-2
harfbuzz 12.1.0-1.1
harfbuzz-icu 12.1.0-1.1
haruna 1.6.0-1.1
haveged 1.9.19-1.1
hdparm 9.65-3.1
helix 25.07.1-1.1
heroic-games-launcher-bin 2.18.1-3
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1.1
highway 1.3.0-1.1
hplip 1:3.25.6-1.1
hunspell 1.7.2-2.3
hwdata 0.401-1
hwdetect 2025.08.16.1333-1
hwinfo 25.0-2.1
hwloc 2.12.2-1.1
hyphen 2.8.8-6.2
i2c-tools 4.4-2.2
iana-etc 20251030-1
icu 76.1-1.1
ijs 0.35-6.1
imagemagick 7.1.2.8-1.1
imath 3.2.2-2.1
imlib2 1.12.5-1.1
inetutils 2.6-1
intel-ucode 20250812-1
inxi 3.3.39.1-1
iproute2 6.17.0-1.1
iptables-nft 1:1.8.11-2.1
iputils 20250605-1.1
iso-codes 4.18.0-1
iw 6.17-1.1
iwd 3.10-1.1
jack2 1.9.22-1.1
jansson 2.14.1-1.1
jasper 4.2.8-1.1
java-runtime-common 3-6
jbig2dec 0.20-1.1
jbigkit 2.1-8.1
jemalloc 1:5.3.0-5.1
jfsutils 1.1.15-9.1
jq 1.8.1-1.1
jre-openjdk 25.0.1.u8-2
